id,question,accuracy,relevance,conciseness,helpfulness,overall
S01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,5,4,5,5,4.75
S02,So ngay nghi phep co tang theo tham nien khong?,5,3,5,4,4.25
S03,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,5,4,5,5,4.75
S04,Don xin nghi phep can ai phe duyet?,5,4,5,5,4.75
S05,Nghi om can nop giay xac nhan y te trong bao lau?,5,4,5,5,4.75
S06,Mat khau he thong phai doi bao lau mot lan?,5,3,5,4,4.25
S07,Du lieu nhan su duoc luu toi da bao lau?,5,4,5,5,4.75
S08,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,5,4,5,5,4.75
S09,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,5,4,5,5,4.75
S10,So ngay nghi phep co tang theo tham nien khong?,5,3,5,4,4.25
S11,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,5,4,5,5,4.75
S12,Don xin nghi phep can ai phe duyet?,5,4,5,5,4.75
S13,Nghi om can nop giay xac nhan y te trong bao lau?,5,4,5,5,4.75
S14,Mat khau he thong phai doi bao lau mot lan?,5,3,5,4,4.25
S15,Du lieu nhan su duoc luu toi da bao lau?,5,4,5,5,4.75
S16,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,5,4,5,5,4.75
S17,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,5,4,5,5,4.75
S18,So ngay nghi phep co tang theo tham nien khong?,5,3,5,4,4.25
S19,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,5,4,5,5,4.75
S20,Don xin nghi phep can ai phe duyet?,5,4,5,5,4.75
S21,Nghi om can nop giay xac nhan y te trong bao lau?,5,4,5,5,4.75
S22,Mat khau he thong phai doi bao lau mot lan?,5,3,5,4,4.25
S23,Du lieu nhan su duoc luu toi da bao lau?,5,4,5,5,4.75
S24,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,5,4,5,5,4.75
S25,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,5,4,5,5,4.75
R01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,5,3,4,4,4
R02,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,5,3,4,4,4
R03,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,5,3,4,4,4
R04,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,5,3,4,4,4
R05,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,5,3,4,4,4
R06,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,5,3,4,4,4
R07,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,5,3,4,4,4
R08,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,5,3,4,4,4
R09,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,5,3,4,4,4
R10,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,5,3,4,4,4
R11,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,5,3,4,4,4
R12,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,5,3,4,4,4
R13,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,5,3,4,4,4
M01,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,5,3,4,4,4
M02,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,5,3,4,4,4
