id,question,judge_1_swap,judge_2_length_calibrated,judge_3_absolute_proxy,ensemble_winner,len_a,len_b
S01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,TIE,TIE,A,TIE,14,16
S02,So ngay nghi phep co tang theo tham nien khong?,TIE,TIE,A,TIE,14,16
S03,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,TIE,TIE,A,TIE,13,15
S04,Don xin nghi phep can ai phe duyet?,TIE,TIE,A,TIE,12,14
S05,Nghi om can nop giay xac nhan y te trong bao lau?,TIE,A,A,A,13,26
S06,Mat khau he thong phai doi bao lau mot lan?,TIE,TIE,A,TIE,9,11
S07,Du lieu nhan su duoc luu toi da bao lau?,A,A,A,A,15,14
S08,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,TIE,TIE,A,TIE,16,18
S09,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,A,A,A,A,14,14
S10,So ngay nghi phep co tang theo tham nien khong?,TIE,A,A,A,14,27
S11,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,TIE,TIE,A,TIE,13,15
S12,Don xin nghi phep can ai phe duyet?,TIE,TIE,A,TIE,12,14
S13,Nghi om can nop giay xac nhan y te trong bao lau?,TIE,TIE,A,TIE,13,15
S14,Mat khau he thong phai doi bao lau mot lan?,A,A,A,A,9,14
S15,Du lieu nhan su duoc luu toi da bao lau?,TIE,A,A,A,15,28
S16,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,TIE,TIE,A,TIE,16,18
S17,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,TIE,TIE,A,TIE,14,16
S18,So ngay nghi phep co tang theo tham nien khong?,TIE,TIE,A,TIE,14,14
S19,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,TIE,TIE,A,TIE,13,15
S20,Don xin nghi phep can ai phe duyet?,TIE,A,A,A,12,25
S21,Nghi om can nop giay xac nhan y te trong bao lau?,A,A,A,A,13,14
S22,Mat khau he thong phai doi bao lau mot lan?,TIE,TIE,A,TIE,9,11
S23,Du lieu nhan su duoc luu toi da bao lau?,TIE,TIE,A,TIE,15,17
S24,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,TIE,TIE,A,TIE,16,18
S25,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,TIE,A,A,A,14,27
R01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,TIE,TIE,A,TIE,30,32
R02,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,A,A,A,A,29,29
R03,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,A,A,A,A,27,14
R04,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,TIE,TIE,A,TIE,26,28
R05,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,TIE,TIE,A,TIE,33,46
R06,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,TIE,TIE,A,TIE,30,32
R07,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,TIE,TIE,A,TIE,29,31
R08,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,TIE,TIE,A,TIE,27,29
R09,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,TIE,TIE,A,TIE,26,28
R10,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,TIE,TIE,A,TIE,33,46
R11,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,TIE,A,A,A,30,30
R12,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,TIE,TIE,A,TIE,29,31
R13,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,TIE,TIE,A,TIE,27,29
M01,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,TIE,TIE,A,TIE,28,30
M02,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,TIE,TIE,A,TIE,28,41
